seqnames	start	end	width	strand	Conc	Conc_WT	Conc_KO	Fold	p.value	FDR
chr12	50120748	50121148	401	*	8.50802491236116	9.48354725785402	3.61464614965923	5.76203206350643	5.20284169091882e-68	5.0243842209203e-64
chr14	12337939	12338339	401	*	8.49333217236667	9.44523406820502	4.56270740110109	4.80951408834205	1.17116104395332e-62	5.65495110072861e-59
chr3	5326817	5327217	401	*	8.07727000526338	9.0435461811248	3.64158651778371	5.29367934969447	1.03595202256799e-55	3.33472956064635e-52
chr10	21082389	21082789	401	*	8.06627360466147	9.03031831324339	3.7219148358927	5.20046927100137	2.25351981909917e-55	5.44056022326017e-52
chr1	69046620	69047020	401	*	8.07420579239709	9.02755620392664	4.10018563963931	4.84482588768274	1.01207720066118e-52	1.95472590535701e-49
chr2	146330835	146331235	401	*	8.08124915392524	9.02892167664086	4.27011064108163	4.67423195227111	7.19956838478303e-52	1.15877053153083e-48
chr16	33605916	33606316	401	*	7.90764510371218	8.86934589769989	3.65322978511614	5.11477568232057	5.75403990327375e-51	7.93810904941637e-48
chr2	115723553	115723953	401	*	7.92593124356597	8.88680125496433	3.70206259778346	5.08936031522132	1.48234112086184e-50	1.78937102552035e-47
chr5	90987602	90988002	401	*	7.95165882738258	8.91443974843424	3.65650908664901	5.12254447617835	4.56253083500965e-50	4.87329106164675e-47
chr5	84848725	84849125	401	*	7.90280419474086	8.85747669630694	3.88796376391987	4.86469324230297	5.05331731697091e-50	4.87329106164675e-47
chr13	57603273	57603673	401	*	7.92369731657264	8.87566575007773	3.99110846086955	4.7824403266161	5.55102015927454e-50	4.87329106164675e-47
chr17	10744746	10745146	401	*	8.03618499333955	8.97332546089161	4.48437832255615	4.4127198292677	6.60683493676895e-50	5.31685041536481e-47
chr4	88641545	88641945	401	*	8.06631721972576	9.05175242927935	2.42890333301079	6.40427280908431	2.04123143824734e-49	1.51632092301189e-46
chr12	51002237	51002637	401	*	8.05800518837529	8.99820816182176	4.43566112796239	4.49544959359015	2.53547005676898e-49	1.74893102415843e-46
chr3	98043050	98043450	401	*	7.82679269463858	8.78081948424912	3.83203798310654	4.85013890136324	1.01416485099584e-48	6.52919331071124e-46
chr11	80518491	80518891	401	*	7.93320601674333	8.88291719208531	4.06574991573824	4.70834896108792	8.74691414835003e-48	5.27930937066351e-45
chr13	67864941	67865341	401	*	7.80229585555981	8.77825718473996	2.88302777329834	5.71429463599177	1.68702966874557e-47	9.58332088886824e-45
chr2	148889929	148890329	401	*	7.80646264828957	8.75838403408586	3.87526285118017	4.78483190634682	4.57130129631025e-47	2.45250314547045e-44
chr5	85239486	85239886	401	*	7.96183339744099	8.90198540488879	4.34069313935463	4.49332412205734	2.17345546384759e-46	1.10468733759874e-43
chr3	66325878	66326278	401	*	7.84538544428466	8.79115113682762	4.08493643486907	4.62802322174821	2.82099804529598e-46	1.36211890617116e-43
chr13	77892710	77893110	401	*	7.70221819370661	8.65951363880336	3.6026859801685	4.9495478708246	4.05044291591354e-46	1.86262510661795e-43
chr3	127705766	127706166	401	*	7.79660416662392	8.75024711209377	3.8136540431801	4.83493785250208	2.3911974573424e-45	1.0496269929798e-42
chr5	131645764	131646164	401	*	7.8477821371132	8.79328896944228	4.09407410898195	4.59004327230055	6.16312359926409e-45	2.58770802600406e-42
chr12	51117854	51118254	401	*	7.77530076370588	8.71497218511271	4.1654606154228	4.45605383832837	1.81041573934027e-44	7.2846603311704e-42
chr1	94503885	94504285	401	*	7.80710658994689	8.74039801367661	4.33913050970168	4.32591142211859	3.63584228505233e-44	1.40445315787001e-41
chr4	95733783	95734183	401	*	7.71358607852181	8.67428423252102	3.49595428054454	5.03542194379008	5.09099582499095e-44	1.89091333392068e-41
chr12	96114800	96115200	401	*	7.80488119580856	8.76261122532695	3.69080835574586	4.96754473085773	2.05596815753261e-43	7.35351277677495e-41
chr7	73185102	73185502	401	*	7.69091412527764	8.65162811676987	3.47270872907957	5.06434109843984	3.42404135874857e-43	1.18092740719411e-40
